Sku, Description, Counted Units, Onhand Units, Unit Variance, Areas
EAR-TI-GLD, Tiny Gold Studs, 20, 20, 0, Display Case A
EAR-TI-SLV, Tiny Silver Studs, 15, 15, 0, Display Case A
EAR-HG-GLD, Huggie Gold Hoops, 10, 10, 0, Display Case B
EAR-HG-SLV, Huggie Silver Hoops, 8, 8, 0, Display Case B
EAR-FL-GLD, Flat Back Gold Labret, 25, 25, 0, Piercing Station 1
EAR-FL-SLV, Flat Back Silver Labret, 19, 19, 0, Piercing Station 1
EAR-CZ-CLR, CZ Clear Round Stud, 6, 6, 0, Display Case C
EAR-CZ-BLK, CZ Black Round Stud, 4, 4, 0, Display Case C
EAR-OP-WHT, Opal White Cabochon, 12, 12, 0, Display Case D
EAR-OP-PNK, Opal Pink Cabochon, 9, 9, 0, Display Case D
EAR-ST-MN, Star Moon Charm, 5, 5, 0, Wall Rack
EAR-ST-HRT, Star Heart Charm, 7, 7, 0, Wall Rack
EAR-BZ-GLD, Bezel Set Gold, 3, 3, 0, Display Case E
EAR-BZ-SLV, Bezel Set Silver, 2, 2, 0, Display Case E
EAR-CL-DBL, Cluster Double Stack, 6, 6, 0, Display Case F
EAR-CL-TRP, Cluster Triple Stack, 1, 1, 0, Display Case F
EAR-CH-LNK, Chain Link Drop, 8, 8, 0, Wall Rack
EAR-CH-THR, Chain Threader, 5, 5, 0, Wall Rack
