Sku, Description, Counted Units, Onhand Units, Unit Variance, Areas
EAR-TI-GLD, Tiny Gold Studs, 30, 32, -2, Display Case A
EAR-TI-SLV, Tiny Silver Studs, 22, 20, 2, Display Case A
EAR-HG-GLD, Huggie Gold Hoops, 14, 14, 0, Display Case B
EAR-HG-SLV, Huggie Silver Hoops, 11, 13, -2, Display Case B
EAR-FL-GLD, Flat Back Gold Labret, 28, 28, 0, Piercing Station 1
EAR-FL-SLV, Flat Back Silver Labret, 16, 20, -4, Piercing Station 1
EAR-CZ-CLR, CZ Clear Round Stud, 5, 5, 0, Display Case C
EAR-CZ-BLK, CZ Black Round Stud, 9, 8, 1, Display Case C
EAR-OP-WHT, Opal White Cabochon, 10, 10, 0, Display Case D
EAR-OP-PNK, Opal Pink Cabochon, 7, 7, 0, Display Case D
EAR-ST-MN, Star Moon Charm, 4, 6, -2, Wall Rack
EAR-ST-HRT, Star Heart Charm, 6, 6, 0, Wall Rack
EAR-BZ-GLD, Bezel Set Gold, 2, 2, 0, Display Case E
EAR-BZ-SLV, Bezel Set Silver, 4, 4, 0, Display Case E
EAR-CL-DBL, Cluster Double Stack, 3, 3, 0, Display Case F
EAR-CL-TRP, Cluster Triple Stack, 0, 2, -2, Display Case F
EAR-CH-LNK, Chain Link Drop, 9, 9, 0, Wall Rack
EAR-CH-THR, Chain Threader, 6, 6, 0, Wall Rack
RS-REPAIR-02, Repair Kit Premium, 3, 3, 0, Back Stock
