Sku, Description, Counted Units, Onhand Units, Unit Variance, Areas
EAR-TI-GLD, Tiny Gold Studs, 22, 22, 0, Display Case A
EAR-TI-SLV, Tiny Silver Studs, 14, 16, -2, Display Case A
EAR-HG-GLD, Huggie Gold Hoops, 11, 11, 0, Display Case B
EAR-HG-SLV, Huggie Silver Hoops, 7, 7, 0, Display Case B
EAR-FL-GLD, Flat Back Gold Labret, 18, 18, 0, Piercing Station 1
EAR-FL-SLV, Flat Back Silver Labret, 15, 15, 0, Piercing Station 1
EAR-CZ-CLR, CZ Clear Round Stud, 4, 4, 0, Display Case C
EAR-CZ-BLK, CZ Black Round Stud, 6, 6, 0, Display Case C
EAR-OP-WHT, Opal White Cabochon, 13, 13, 0, Display Case D
EAR-OP-PNK, Opal Pink Cabochon, 8, 10, -2, Display Case D
EAR-ST-MN, Star Moon Charm, 3, 3, 0, Wall Rack
EAR-ST-HRT, Star Heart Charm, 5, 5, 0, Wall Rack
EAR-BZ-GLD, Bezel Set Gold, 1, 1, 0, Display Case E
EAR-BZ-SLV, Bezel Set Silver, 6, 6, 0, Display Case E
EAR-CL-DBL, Cluster Double Stack, 2, 2, 0, Display Case F
EAR-CL-TRP, Cluster Triple Stack, 4, 4, 0, Display Case F
EAR-CH-LNK, Chain Link Drop, 7, 7, 0, Wall Rack
EAR-CH-THR, Chain Threader, 3, 5, -2, Wall Rack
